id,session_id,iki_variance,backspace_ratio,dwell_time,mouse_activity,app_switch_rate,fatigue_label
838,dcfcc7be,0.1023,0.0,0.0973,1695,38,7
839,dcfcc7be,0.0371,0.0,0.103,1695,38,7
840,dcfcc7be,0.0162,0.0,0.0979,1695,38,7
841,dcfcc7be,1.0656,0.0,0.1045,1695,38,7
842,dcfcc7be,0.1365,0.0,0.0998,1695,38,7
843,dcfcc7be,0.0261,0.0,0.099,1695,38,7
844,dcfcc7be,1.4087,0.0,0.1001,1695,38,7
845,dcfcc7be,0.0428,0.0,0.0936,1695,38,7
846,dcfcc7be,0.3732,0.0,0.1023,1695,38,7
847,dcfcc7be,1.4375,0.7,0.087,1695,38,7
848,dcfcc7be,0.0283,0.4,0.0858,1695,38,7
849,dcfcc7be,0.0157,0.0,0.0964,1695,38,7
850,dcfcc7be,0.0187,0.0,0.1028,1695,38,7
851,dcfcc7be,834.165,0.8,0.0929,1695,38,7
852,dcfcc7be,0.9619,0.5,0.0837,1695,38,7
853,dcfcc7be,54.3291,0.4,0.1771,1695,38,7
854,dcfcc7be,0.1314,0.3,0.1544,1695,38,7
855,dcfcc7be,3.8038,0.6,0.0928,1695,38,7
856,dcfcc7be,0.1773,0.8,0.0768,1695,38,7
857,dcfcc7be,19.056,0.5,0.0763,1695,38,7
858,dcfcc7be,0.0814,0.4,0.1235,1695,38,7
859,dcfcc7be,191.036,0.0,0.1498,1695,38,7
860,dcfcc7be,0.0403,0.0,0.098,1695,38,7
861,dcfcc7be,0.0478,0.1,0.0943,1695,38,7
862,dcfcc7be,0.033,0.2,0.1268,1695,38,7
863,dcfcc7be,0.3818,0.4,0.0917,1695,38,7
864,dcfcc7be,0.0445,0.0,0.1071,1695,38,7
865,dcfcc7be,0.3248,0.3,0.1028,1695,38,7
866,dcfcc7be,0.0488,0.0,0.1014,1695,38,7
867,dcfcc7be,0.2192,0.5,0.0892,1695,38,7
868,dcfcc7be,0.2364,0.4,0.1014,1695,38,7
869,dcfcc7be,0.0445,0.0,0.1027,1695,38,7
870,dcfcc7be,0.0294,0.0,0.1192,1695,38,7
871,dcfcc7be,981.1346,0.0,0.1048,1695,38,7
872,dcfcc7be,0.0546,0.0,0.1115,1695,38,7
873,dcfcc7be,0.0135,0.0,0.1077,1695,38,7
874,dcfcc7be,0.0083,0.0,0.1016,1695,38,7
875,dcfcc7be,0.0689,0.0,0.0984,1695,38,7
876,dcfcc7be,0.0858,0.0,0.0933,1695,38,7
877,dcfcc7be,0.042,0.1,0.0817,1695,38,7
878,dcfcc7be,0.0063,0.0,0.086,1695,38,7
879,dcfcc7be,0.0048,0.0,0.1071,1695,38,7
880,dcfcc7be,94.5977,0.0,0.1735,1695,38,7
881,dcfcc7be,0.0089,0.0,0.104,1695,38,7
882,dcfcc7be,0.0095,0.0,0.1079,1695,38,7
883,dcfcc7be,0.0749,0.2,0.0948,1695,38,7
884,dcfcc7be,0.1282,0.2,0.1011,1695,38,7
885,dcfcc7be,0.0233,0.0,0.1107,1695,38,7
886,dcfcc7be,0.0045,0.0,0.1066,1695,38,7
887,dcfcc7be,0.049,0.0,0.0983,1695,38,7
888,dcfcc7be,228.2099,0.3,0.1106,1695,38,7
889,dcfcc7be,415.594,0.3,0.2287,1695,38,7
890,dcfcc7be,0.0442,0.0,0.1081,1695,38,7
891,dcfcc7be,0.0871,0.1,0.1132,1695,38,7
892,dcfcc7be,0.0723,0.1,0.1014,1695,38,7
893,dcfcc7be,156.4861,0.0,0.3829,1695,38,7
894,dcfcc7be,252.161,0.0,0.1145,1695,38,7
895,dcfcc7be,0.0104,0.0,0.1248,1695,38,7
896,dcfcc7be,234.1082,0.0,0.3262,1695,38,7
897,dcfcc7be,0.0403,0.0,0.12,1695,38,7
898,dcfcc7be,0.1952,0.0,0.1129,1695,38,7
899,dcfcc7be,0.1076,0.0,0.1025,1695,38,7
900,dcfcc7be,0.0813,0.0,0.1063,1695,38,7
901,dcfcc7be,0.0776,0.0,0.1138,1695,38,7
902,dcfcc7be,0.0127,0.0,0.0972,1695,38,7
903,5dbe5d08,0.0516,0.0,0.1069,983,17,2
904,5dbe5d08,989.4913,0.0,0.115,983,17,2
905,5dbe5d08,224.1234,0.1,0.1333,983,17,2
906,5dbe5d08,0.0386,0.0,0.1185,983,17,2
907,5dbe5d08,0.1575,0.0,0.121,983,17,2
908,5dbe5d08,0.0728,0.2,0.1034,983,17,2
909,5dbe5d08,0.3726,0.0,0.1051,983,17,2
910,5dbe5d08,0.1406,0.0,0.1104,983,17,2
911,5dbe5d08,0.0108,0.0,0.1053,983,17,2
912,5dbe5d08,0.0617,0.0,0.1094,983,17,2
913,5dbe5d08,916.6793,0.0,0.1146,983,17,2
914,5dbe5d08,27.3536,0.0,0.1165,983,17,2
915,5dbe5d08,0.0383,0.0,0.123,983,17,2
916,5dbe5d08,0.0341,0.0,0.1028,983,17,2
917,5dbe5d08,0.0264,0.0,0.0945,983,17,2
918,5dbe5d08,0.0043,0.0,0.0994,983,17,2
919,5dbe5d08,292.6852,0.0,0.1454,983,17,2
920,5dbe5d08,19.0393,0.0,0.1198,983,17,2
921,5dbe5d08,27.2397,0.0,0.1171,983,17,2
